Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
Germany,60328,12,Mid,5,Hybrid-Flexible,Media Services,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
Paraguay,48132,16,Senior,5,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Some college,25-34 
Russian Federation,65073,12,Mid,6,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,130000,6,Mid,6,In-person,Government,10000+,Large,Employed,Developer,Masters,45-54 
Czech Republic,67400,8,Mid,8,Hybrid-Flexible,Telecomm  Services,<20,Small,Employed,Data/AI,Secondary school ,25-34 
Nepal,21816,13,Mid,5,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,25-34 
Sweden,146750,15,Mid,3,Flexible,Fintech,1000 - 4999,Medium,Employed,Developer,Some college,25-34 
Argentina,7208,5,Mid,5,Hybrid-InPerson,Insurance,20 - 99 ,Small,Employed,Student,Secondary school ,18-24
United States of America,127500,17,Senior,7,Hybrid-Flexible,Insurance,100 - 499,Medium,Employed,Architect,Associate,35-44
Finland,269154,13,Mid,10,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Some college,25-34 
United States of America,120000,40,Senior,9,Remote,Telecomm  Services,500 - 999,Medium,Employed,Developer,Masters,45-54 
Netherlands,139218,42,Senior,8,Flexible,Software Development,<20,Small,Employed,Architect,Bachelors,45-54 
Italy,40605,15,Mid,7,Flexible,Manufacturing,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,185000,20,Senior,6,Hybrid-InPerson,Other,5000 - 9999,Large,Employed,Architect,Masters,35-44
Russian Federation,45934,12,Mid,6,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,140000,45,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Cybersecurity ,Other,55-64
United States of America,210000,25,Senior,8,In-person,Banking Services,<20,Small,Employed,Developer,Masters,35-44
Sweden,79245,40,Senior,8,Hybrid-Flexible,Energy,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,78281,12,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Germany,104413,15,Mid,7,Remote,Banking Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Germany,69609,43,Senior,7,Remote,Supply Chain,20 - 99 ,Small,Employed,Developer,Masters,55-64
Brazil,17840,8,Mid,4,Remote,Energy,100 - 499,Medium,Employed,Data/AI,Bachelors,25-34 
United States of America,250000,25,Senior,9,Remote,Fintech,500 - 999,Medium,Employed,Manager,Bachelors,35-44
Netherlands,98612,10,Mid,10,Flexible,Software Development,500 - 999,Medium,Employed,Data/AI,Bachelors,25-34 
United States of America,100000,10,Mid,9,Flexible,Other,<20,Small,Employed,Developer,Bachelors,25-34 
Switzerland,125729,11,Mid,6,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Masters,25-34 
United Kingdom of Great Britain and Northern Ireland,149756,26,Senior,9,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Architect,Masters,45-54 
United States of America,104000,8,Mid,8,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,200000,24,Senior,7,Flexible,Energy,5000 - 9999,Large,Employed,Data/AI,Masters,45-54 
Tunisia,9368,9,Mid,8,In-person,Banking Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Brazil,14563,35,Senior,5,Flexible,Energy,10000+,Large,Employed,Data/AI,Masters,45-54 
Germany,14687,11,Mid,10,In-person,Other,100 - 499,Medium,Employed,Developer,Secondary school ,18-24
Turkey,24000,6,Mid,7,Remote,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Bulgaria,55511,11,Mid,7,Flexible,Energy,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Trinidad and Tobago,66000,18,Senior,9,Remote,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Germany,92812,12,Mid,8,Hybrid-Flexible,Healthcare,10000+,Large,Employed,Cybersecurity ,Masters,25-34 
Canada,109438,20,Senior,2,Remote,Software Development,1000 - 4999,Medium,Employed,Data/AI,Bachelors,35-44
United States of America,144000,11,Mid,3,Remote,Fintech,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Czech Republic,99346,17,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Sweden,104822,25,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
United Kingdom of Great Britain and Northern Ireland,54457,13,Mid,8,Hybrid-Flexible,Media Services,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,125000,30,Senior,7,Remote,Banking Services,500 - 999,Medium,Employed,Developer,Associate,45-54 
Canada,218875,40,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
United States of America,90000,20,Senior,7,Hybrid-Flexible,Higher Education,<20,Small,Employed,Data/AI,Professional,35-44
France,85039,13,Mid,10,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Architect,Masters,25-34 
United States of America,138000,25,Senior,8,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,45-54 
Canada,109438,16,Senior,1,Hybrid-InPerson,Other,10000+,Large,Employed,Data/AI,Masters,25-34 
Switzerland,99194,30,Senior,7,Hybrid-InPerson,Telecomm  Services,20 - 99 ,Small,Employed,Architect,Some college,45-54 
Republic of North Macedonia,55687,18,Senior,8,Remote,Media Services,20 - 99 ,Small,Self-employed,Architect,Bachelors,35-44
United States of America,800000,49,Senior,10,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,55-64
United States of America,95000,33,Senior,6,Remote,Healthcare,100 - 499,Medium,Employed,Developer,Masters,45-54 
United States of America,212750,15,Mid,9,Remote,Media Services,5000 - 9999,Large,Employed,Manager,Masters,25-34 
Germany,95132,20,Senior,7,Remote,Software Development,<20,Small,Employed,Data/AI,Professional,35-44
Romania,5973,10,Mid,5,Flexible,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,35-44
India,5231,3,Mid,8,Hybrid-InPerson,Software Development,1,Small,Self-employed,Developer,Masters,18-24
Bulgaria,37125,10,Mid,0,Hybrid-InPerson,Software Development,I don’t know,Unknown,Employed,Developer,Masters,25-34 
Singapore,82018,10,Mid,9,Hybrid-InPerson,Banking Services,10000+,Large,Employed,Developer,Some college,25-34 
Cyprus,100933,20,Senior,6,Remote,Software Development,100 - 499,Medium,Employed,Developer,Some college,35-44
Germany,116015,28,Senior,8,Hybrid-InPerson,Software Development,10000+,Large,Employed,Architect,Bachelors,35-44
Sweden,82283,19,Senior,9,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Latvia,46406,25,Senior,7,Hybrid-InPerson,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Mexico,60000,14,Mid,8,Remote,Energy,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Norway,94874,16,Senior,4,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Netherlands,78890,2,Junior,5,Flexible,Banking Services,1000 - 4999,Medium,Employed,Data/AI,Secondary school ,25-34 
"Iran, Islamic Republic of...",14243,15,Mid,8,Remote,Software Development,<20,Small,Employed,Developer,Masters,35-44
United Kingdom of Great Britain and Northern Ireland,108913,16,Senior,6,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Malta,81,15,Mid,1,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Canada,25535,5,Mid,8,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Secondary school ,18-24
United States of America,90000,6,Mid,8,In-person,Government,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Spain,31324,12,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Spain,52207,18,Senior,10,Remote,Healthcare,5000 - 9999,Large,Employed,Architect,Masters,35-44
Belgium,92812,26,Senior,8,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Professional,35-44
Portugal,67289,12,Mid,7,Remote,Fintech,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Brazil,2221,4,Mid,6,Remote,Software Development,<20,Small,Employed,Developer,Secondary school ,18-24
Luxembourg,139218,19,Senior,8,Hybrid-Flexible,Government,20 - 99 ,Small,Employed,Data/AI,Professional,35-44
United Kingdom of Great Britain and Northern Ireland,204212,30,Senior,6,Hybrid-InPerson,Healthcare,10000+,Large,Employed,Developer,Some college,45-54 
United States of America,119000,18,Senior,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Italy,69609,42,Senior,7,Hybrid-Flexible,Software Development,500 - 999,Medium,Employed,Architect,Bachelors,55-64
Switzerland,148791,29,Senior,8,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Data/AI,Bachelors,55-64
Spain,174022,12,Mid,10,Flexible,Software Development,1,Small,Self-employed,Other,Primary school,25-34 
Italy,30164,15,Mid,4,In-person,Software Development,<20,Small,Employed,Developer,Secondary school ,25-34 
France,61488,9,Mid,7,Hybrid-InPerson,Other,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United Kingdom of Great Britain and Northern Ireland,204212,25,Senior,8,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Senior executive,Secondary school ,35-44
United States of America,114038,22,Senior,7,Remote,Software Development,I don’t know,Unknown,Employed,Developer,Some college,35-44
Germany,106733,30,Senior,8,Hybrid-Flexible,Other,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
Bulgaria,237226,15,Mid,10,Remote,Software Development,20 - 99 ,Small,Employed,Data/AI,Bachelors,25-34 
Germany,208826,42,Senior,8,Hybrid-InPerson,Retail Services,20 - 99 ,Small,Employed,Data/AI,Professional,45-54 
United States of America,310000,27,Senior,9,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,350000,20,Senior,7,Remote,Software Development,10000+,Large,Employed,Architect,Masters,35-44
Chile,2121,10,Mid,8,Remote,Healthcare,5000 - 9999,Large,Employed,Data/AI,Masters,25-34 
Canada,31372,8,Mid,6,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,180000,22,Senior,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Hungary,150000,37,Senior,5,Remote,Software Development,<20,Small,Employed,Developer,Masters,45-54 
Germany,162421,42,Senior,10,Hybrid-Flexible,Software Development,<20,Small,Employed,Data/AI,Professional,55-64
United States of America,172000,20,Senior,8,Remote,Fintech,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Portugal,69609,41,Senior,9,In-person,Healthcare,<20,Small,Employed,Architect,Bachelors,55-64
Sweden,58700,20,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Some college,35-44
United States of America,220000,9,Mid,10,Remote,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Portugal,48726,6,Mid,9,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,18-24
India,72000,17,Senior,8,Remote,Software Development,1,Small,Self-employed,Developer,Masters,35-44
Germany,203026,41,Senior,1,Flexible,Government,5000 - 9999,Large,Employed,Developer,Masters,55-64
United States of America,175000,14,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Manager,Professional,35-44
Canada,72958,10,Mid,8,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Switzerland,182270,15,Mid,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,233000,26,Senior,7,Remote,Software Development,10000+,Large,Self-employed,Developer,Bachelors,45-54 
Austria,116015,30,Senior,9,Hybrid-Flexible,Government,500 - 999,Medium,Employed,Developer,Masters,35-44
United States of America,350000,27,Senior,10,Remote,Telecomm  Services,<20,Small,Employed,Senior executive,Bachelors,35-44
Austria,87011,15,Mid,8,Flexible,Banking Services,1000 - 4999,Medium,Employed,Developer,Masters,35-44
United Kingdom of Great Britain and Northern Ireland,56499,16,Senior,5,Hybrid-InPerson,Other,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,294400,30,Senior,10,Remote,Retail Services,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
Portugal,66824,11,Mid,8,Remote,Other,<20,Small,Self-employed,Developer,Masters,25-34 
Germany,78890,13,Mid,8,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,210000,10,Mid,5,Hybrid-Flexible,Healthcare,<20,Small,Not employed,Data/AI,Bachelors,35-44
Sweden,74423,38,Senior,6,In-person,Other,5000 - 9999,Large,Employed,Architect,Masters,45-54 
Romania,16542,8,Mid,8,Remote,Software Development,500 - 999,Medium,Self-employed,Developer,Bachelors,25-34 
Netherlands,121815,14,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,131200,28,Senior,4,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Germany,41765,8,Mid,8,Hybrid-InPerson,Higher Education,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
France,48726,6,Mid,3,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Masters,18-24
Czech Republic,73017,14,Mid,10,Remote,Software Development,100 - 499,Medium,Self-employed,Developer,Professional,25-34 
United States of America,144600,14,Mid,8,Remote,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Germany,127616,9,Mid,6,Hybrid-InPerson,Media Services,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,220000,12,Mid,7,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Germany,92812,22,Senior,7,Flexible,Healthcare,10000+,Large,Employed,Architect,Masters,35-44
Germany,23203,17,Senior,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Italy,32484,9,Mid,6,Flexible,Government,10000+,Large,Employed,Data/AI,Masters,25-34 
Norway,62261,11,Mid,10,Hybrid-InPerson,Government,100 - 499,Medium,Employed,Developer,Masters,18-24
Sweden,52411,12,Mid,7,Hybrid-Flexible,Software Development,<20,Small,Self-employed,Developer,Some college,25-34 
United States of America,273000,45,Senior,8,Remote,Software Development,10000+,Large,Employed,Developer,Professional,55-64
Malaysia,40056,15,Mid,9,Remote,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Italy,55687,12,Mid,6,Remote,Software Development,<20,Small,Employed,Data/AI,Professional,35-44
United States of America,135000,47,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,55-64
Turkey,139218,20,Senior,10,Remote,Software Development,500 - 999,Medium,Employed,Architect,Some college,45-54 
Netherlands,203026,15,Mid,6,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
United States of America,140000,40,Senior,7,Hybrid-InPerson,Other,20 - 99 ,Small,Employed,Developer,Secondary school ,45-54 
United States of America,115000,20,Senior,8,Hybrid-InPerson,Government,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Canada,102142,26,Senior,2,Remote,Telecomm  Services,10000+,Large,Employed,Developer,Associate,35-44
Germany,93972,20,Senior,3,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Secondary school ,35-44
Greece,71929,20,Senior,5,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
United States of America,90000,16,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Hungary,90000,27,Senior,9,Remote,Software Development,100 - 499,Medium,Self-employed,Data/AI,Bachelors,45-54 
Czech Republic,561668,20,Senior,9,Flexible,Software Development,5000 - 9999,Large,Employed,Developer,Masters,25-34 
United Kingdom of Great Britain and Northern Ireland,74878,25,Senior,7,In-person,Insurance,100 - 499,Medium,Employed,Data/AI,Some college,35-44
United States of America,189122,14,Mid,6,Flexible,Software Development,10000+,Large,Employed,Cybersecurity ,Bachelors,25-34 
United States of America,450000,12,Mid,8,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
Czech Republic,748890,20,Senior,3,Flexible,Insurance,20 - 99 ,Small,Employed,Developer,Some college,25-34 
Russian Federation,30623,40,Senior,10,Remote,Telecomm  Services,500 - 999,Medium,Employed,Developer,Some college,55-64
Canada,93387,43,Senior,7,Flexible,Government,500 - 999,Medium,Employed,Data/AI,Secondary school ,55-64
Ireland,174022,9,Mid,7,Remote,Software Development,<20,Small,Employed,Developer,Masters,25-34 
Austria,31324,8,Mid,8,Flexible,Software Development,<20,Small,Employed,Developer,Some college,18-24
United States of America,175000,42,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Masters,45-54 
United States of America,30000,9,Mid,6,Flexible,Telecomm  Services,20 - 99 ,Small,Student,Research,Some college,18-24
